0 1
0.0628 0.998029
0.1256 0.992123
0.1884 0.982305
0.2512 0.968615
0.314 0.951106
0.3768 0.929847
0.4396 0.904922
0.5024 0.876429
0.5652 0.844482
0.628 0.809204
0.6908 0.770737
0.7536 0.72923
0.8164 0.684849
0.8792 0.637768
0.942 0.588172
1.0048 0.536257
1.0676 0.482228
1.1304 0.426298
1.1932 0.368687
1.256 0.309623
1.3188 0.249338
1.3816 0.18807
1.4444 0.12606
1.5072 0.0635535
1.57 0.000796327
1.6328 -0.061964
1.6956 -0.12448
1.7584 -0.186505
1.8212 -0.247795
1.884 -0.308108
1.9468 -0.367206
2.0096 -0.424857
2.0724 -0.480832
2.1352 -0.534912
2.198 -0.586883
2.2608 -0.63654
2.3236 -0.683687
2.3864 -0.72814
2.4492 -0.769721
2.512 -0.808267
2.5748 -0.843627
2.6376 -0.875661
2.7004 -0.904243
2.7632 -0.92926
2.826 -0.950613
2.8888 -0.968218
2.9516 -0.982006
3.0144 -0.991922
3.0772 -0.997928
3.14 -0.999999
3.2028 -0.998127
3.2656 -0.992321
3.3284 -0.982602
3.3912 -0.969009
3.454 -0.951596
3.5168 -0.930432
3.5796 -0.905599
3.6424 -0.877195
3.7052 -0.845333
3.768 -0.810139
3.8308 -0.77175
3.8936 -0.730319
3.9564 -0.686009
4.0192 -0.638993
4.082 -0.589459
4.1448 -0.537601
4.2076 -0.483623
4.2704 -0.427738
4.3332 -0.370167
4.396 -0.311137
4.4588 -0.25088
4.5216 -0.189634
4.5844 -0.12764
4.6472 -0.0651428
4.71 -0.00238898
4.7728 0.0603743
4.8356 0.1229
4.8984 0.18494
4.9612 0.246252
5.024 0.306592
5.0868 0.365724
5.1496 0.423414
5.2124 0.479435
5.2752 0.533566
5.338 0.585593
5.4008 0.635311
5.4636 0.682524
5.5264 0.727047
5.5892 0.768703
5.652 0.807329
5.7148 0.842771
5.7776 0.874891
5.8404 0.903562
5.9032 0.92867
5.966 0.950117
6.0288 0.967818
6.0916 0.981704
6.1544 0.991719
6.2172 0.997824
